Number,SMILES,IC50 NDM (uM),,,,
722,O=C(NC1=CC=C(CCNC([C@H](NC([C@H](N)C)=O)C)=O)C=C1)C(C=N2)=CC=C2CN(CC3=NC=CC=C3)CC4=NC=CC=C4,0.81,,,,
256,OC(C1=CC(NCC2=CC=C(OCO3)C3=C2)=CC(C(O)=O)=N1)=O,0.82,,,,
265,OC(C1=CC(C2=CC(NC(C3=CC=CC=C3)=O)=CC=C2)=CC(C(O)=O)=N1)=O,0.86,,,,
266,OC(C1=CC(C2=CC(NC(CC3=CC=CC=C3)=O)=CC=C2)=CC(C(O)=O)=N1)=O,0.86,,,,
263,OC(C1=CC(C2=CC(C(O)=O)=CC=C2)=CC(C(O)=O)=N1)=O,0.89,,,,
359,O=C(NC1=CC=CC=C1CC)CSC2=NN=C(C3=CC=CC=C3O)N2,0.93,,,,
815,OC(C1=CC(C2=CC=CC=C2Cl)=CC(CP(O)(O)=O)=N1)=O,0.95,,,,
1,OC1=C(C2=NN=C(SCC(NC3=C(Cl)C=CC=C3)=O)N2)C=CC=C1,0.96,,,,
356,O=C(NC1=CC=CC=C1C)CSC2=NN=C(C3=CC=C(O)C=C3)N2,0.98,,,,
367,O=C(NC1=CC=CC=C1Cl)CSC2=NN=C(C3=CC=CC=C3O)N2,0.98,,,,
252,OC(C1=CC(C2=C(O)C=CC=C2)=CC(C(O)=O)=N1)=O,0.99,,,,
264,OC(C1=CC(C2=CC(NC(C)=O)=CC=C2)=CC(C(O)=O)=N1)=O,0.99,,,,
358,O=C(NC1=CC=CC=C1CC)CSC2=NN=C(C3=CC=CC=C3)N2,0.99,,,,
46,O=C1N(CCCC2=CC=CC=C2)SC3=CC=CC=C31,1,,,,
221,ClC1=CC=CC(F)=C1CN2CCN(CCCNC(NS(=O)(C3=CC=C(C)C=C3)=O)=O)CC2,1,,,,
971,BrC1=CC=CC(CNN2C=NN=C2S)=C1,1,,,,
261,OC(C1=CC(C2=CC=C(N)C=C2)=CC(C(O)=O)=N1)=O,1.03,,,,
449,ClC1=C(/C=C(C(O)=O)\S)C(Cl)=CC=C1Cl,1.05,,,,
217,O=C(CSC1=NN=C(C2=C(N)C=CC=C2)N1N)NC3=NC4=CC([N+]([O-])=O)=CC=C4O3,1.1,,,,
118,S=C(N(C1=CC=C(C(O)=O)C=C1)C/2=O)SC2=C/C3=NC=CC=C3,1.13,,,,
133,O=C(O)C1=CC=CC(C(O)=O)=N1,1.13,,,,
163,OC(C1=CC=C(C2=C(Cl)C(Cl)=CC=C2)C=C1CS)=O,1.16,,,,
218,O=S(NCCCN(CC1)CCN1CC2=CC=CC=C2)(C3=CC=C(N4C(CCC4=O)=O)C=C3)=O,1.2,,,,
222,OC([C@H](NC(C1=CC=C(C(N[C@@H](C(O)=O)CC2=CC=CC=C2)=O)C=C1)=O)CC3=CC=CC=C3)=O,1.2,,,,
352,O=C(NC1=CC=CC=C1)CSC2=NN=C(C3=CC=C(O)C=C3)N2,1.2,,,,
461,O=C(NC1=CC=CC=C1)CSC(S2)=NN=C2C3=CC=NC=C3,1.2,,,,
811,OC(C1=CC(C2=CC=CC(Cl)=C2)=CC(CP(O)(O)=O)=N1)=O,1.29,,,,
210,O=C(CSC1=NN=C(C2=C(O)C=CC=C2)O1)NC3=NC4=CC([N+]([O-])=O)=CC=C4O3,1.3,,,,
446,SCC(S)CO,1.3,,,,
126,S=C(N(C1=CC=C(C(O)=O)C=C1)C/2=O)SC2=C/C3=C([N+]([O-])=O)C=CC=C3,1.31,,,,
360,O=C(NC1=CC=CC=C1CC)CSC2=NN=C(C3=CC=C(O)C=C3)N2,1.5,,,,
490,SC[C@H](C)C(NCC1=CC=CC=C1)=O,1.5,,,,
1019,OC(C(NNC(S[K])=S)=O)C1=CC=CC=C1,1.52,,,,
184,OC([C@H]1CN(C(C(CC2=CC=CC=C2)CS)=O)CCC1)=O,1.6,,,,
179,OC([C@H](C)NC(C(CC1=CC=CC=C1)CS)=O)=O,1.7,,,,
185,OC(C1CCN(C(C(CC2=CC=CC=C2)CS)=O)CC1)=O,1.8,,,,
302,SCC(CCCC1=CC=CC=C1)P(OCC)(OCC)=O,1.8,,,,
445,SCC(C(NCC(O)=O)=O)CC1=CC=CC=C1,1.8,,,,
219,S=C(NNC(CCC1=NC(C2=CC=C(Cl)C=C2)=NO1)=O)NCCC3=CC=CC=C3,1.9,,,,
357,O=C(NC1=CC=CC=C1C)CSC2=NN=C(C3=CC=CC=C3N)N2,1.9,,,,
349,O=C1C2=C(C=CC=C2)OC=C1C=O,2,,,,
795,OC(C1=CC=CC(CC(O)=O)=N1)=O,2.05,,,,
81,OC(C1=C(SC=N1)NS(=O)(CC2=C(Cl)C=C(Cl)C=C2)=O)=O,2.1,,,,
181,OC(C1CN(C(C(CC2=CC=CC=C2)CS)=O)C1)=O,2.2,,,,
301,SCC(CCC1=CC=CC=C1)P(OCC)(OCC)=O,2.2,,,,
796,OC(C1=CC=CC(C2=NN=NN2)=N1)=O,2.2,,,,
79,OC(C1=C(SC=N1)NS(=O)(CC2=C(Cl)C=CC=C2)=O)=O,2.3,,,,
220,O=C1C=C(CCC)C2=C(C=C(O[C@@H](C)C(NNS(=O)(C3=CC=CC(C(F)(F)F)=C3)=O)=O)C=C2)O1,2.3,,,,
38,O=C1N(CC(C)C)SC2=CC=CC=C21,2.32,,,,
130,OC(C1CCCN1C(C(C)CS)=O)=O,2.38,,,,
187,O=S1(CCN(C(C(CC2=CC=CC=C2)CS)=O)CC1)=O,2.4,,,,
166,OC(C1=CC=C(C2=CC(C=CC=C3)=C3C=C2)C=C1CS)=O,2.42,,,,
37,O=C1N(CC=C)SC2=CC=CC=C21,2.5,,,,
77,OC(C1=C(SC=N1)NS(=O)(CC2=CC=CC=C2)=O)=O,2.5,,,,
188,O=C(C(C(CC1=CC=CC=C1)CS)=O)C2=CC=CC=C2,2.5,,,,
215,O=C(CSC1=NN=C(C2=C(N)C=CC=C2)S1)NC3=NC4=CC([N+]([O-])=O)=CC=C4O3,2.5,,,,
313,OP(C(CCCCC1=CC=CC=C1)CSC(C)=O)(O)=O,2.5,,,,
180,OC(CN(C(C(CC1=CC=CC=C1)CS)=O)C)=O,2.6,,,,
84,OC(C1=C(SC=N1)NS(=O)(C2=CC=CN=C2)=O)=O,2.67,,,,
158,OC(C1=CC=C(C2=C(Cl)C=CC=C2)C=C1CS)=O,2.85,,,,
311,OP(C(CCC1=CC=CC=C1)CSC(C)=O)(O)=O,2.9,,,,
175,O=C(O)[C@H]1N(C(C(CS)CC2=CC=CC=C2)=O)CCC1,3.2,,,,
21,O[C@@H]1[C@@H](O)[C@H](OC2=CC(O)=C(C(C[C@@H](C3=CC(O)=C(OC)C=C3)O4)=O)C4=C2)O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@H]1O,3.3,,,,
85,OC(C1=C(SC=N1)NS(=O)(C2=CC=NC=C2)=O)=O,3.4,,,,
244,OC(C1=CC(NC2=CC=CC=C2)=CC(C(O)=O)=N1)=O,3.4,,,,
134,O=C(O)C1SCC(C(O)=O)N1,3.45,,,,
156,OC([C@@H](C1=CC=C(O)C=C1)NC([C@H](C)CS)=O)=O,3.57,,,,
846,SC[C@@H](C)C(N[C@@H](CC1=CC=CC=C1)B(O)O)=O,3.88,,,,
834,O=C1C=C(C2=CC=CC=C2)OC3=C1C(O)=C(O)C(O[C@@H]4O[C@H](C(O)=O)[C@@H](O)[C@H](O)[C@H]4O)=C3,3.89,,,,
465,O=C(NC1=CC=CC=C1)CSC(N2)=NN=C2C3=CN=CC=C3,4.3,,,,
76,OC(C1=C(SC=N1)NS(=O)(C2=CC=CC=C2)=O)=O,4.5,,,,
183,OC([C@H]1N(C(C(CC2=CC=CC=C2)CS)=O)CCCC1)=O,4.5,,,,
247,OC(C1=CC(NC2=CC=C(OC)C=C2)=CC(C(O)=O)=N1)=O,4.5,,,,
251,OC(C1=CC(C2=C(OC)C=CC=C2)=CC(C(O)=O)=N1)=O,4.9,,,,
242,OC(C1=CC(Cl)=CC(C(O)=O)=N1)=O,5,,,,
489,SC[C@@H](C)C(NCC1=CC=CC=C1)=O,5,,,,
491,SC[C@@H](C)C(NCC1=CC=CC=C1O)=O,5,,,,
172,O=C(CN1CCN(CC(O)=O)CCN(CC(O)=O)CC1)O,5.1,,,,
214,O=C(CSC1=NN=C(C2=CC=CC([N+]([O-])=O)=C2)S1)NC3=NC4=CC([N+]([O-])=O)=CC=C4O3,5.1,,,,
250,OC(C1=CC(C2=CC(N(C)C)=CC=C2)=CC(C(O)=O)=N1)=O,5.2,,,,
410,OC(C[C@@H](C(O)=O)NC[C@@H](C(O)=O)NC[C@H](C(O)=O)N)=O,5.2,,,,
462,O=C(CSC1=NN=C(C2=CN=CC=C2)N1)NC(S3)=NC4=C3C=CC=C4,5.32,,,,
844,SC[C@@H](C)C(N1CCC[C@H]1C(O)=O)=O,5.45,,,,
155,OC([C@@H](C1=CC=C(F)C=C1)NC([C@H](C)CS)=O)=O,5.59,,,,
157,OC(C1=CC=C(C2=CC=CC=C2)C=C1CS)=O,5.59,,,,
173,S=C(S[Na])N1CCN(C(S[Na])=S)CCN(C(S[Na])=S)CC1,5.6,,,,
456,O=C(CSC1=NN=C(C2=CC=NC=C2)N1)NC(S3)=NC4=C3C=CC=C4,5.6,,,,
1011,O=C(NNC(S[K])=S)CC1=CC=CC=C1,5.64,,,,
249,OC(C1=CC(C2=CC(N)=CC=C2)=CC(C(O)=O)=N1)=O,5.8,,,,
211,O=C(CSC1=NN=C(C2=C(O)C=CC=C2)N1)NC3=NC4=CC([N+]([O-])=O)=CC=C4O3,5.9,,,,
304,SCC(CCC1=CC=CC=C1)P(O)(O)=O,5.9,,,,
